Time,FRET,Enzyme,RNA,DNA
407.946,0.288288288,7.00E-06,1.00E-07,5.00E-07
407.946,0.279243272,7.00E-06,1.00E-07,5.00E-07
536.104,0.25445705,7.00E-06,1.00E-07,5.00E-07
536.104,0.242740134,7.00E-06,1.00E-07,5.00E-07
664.262,0.198344526,7.00E-06,1.00E-07,5.00E-07
664.262,0.217293571,7.00E-06,1.00E-07,5.00E-07
792.42,0.21812596,7.00E-06,1.00E-07,5.00E-07
792.42,0.22547493,7.00E-06,1.00E-07,5.00E-07
920.578,0.20085752,7.00E-06,1.00E-07,5.00E-07
920.578,0.167169915,7.00E-06,1.00E-07,5.00E-07
1048.736,0.197755363,7.00E-06,1.00E-07,5.00E-07
1048.736,0.217448875,7.00E-06,1.00E-07,5.00E-07
1176.894,0.188297194,7.00E-06,1.00E-07,5.00E-07
1176.894,0.208876221,7.00E-06,1.00E-07,5.00E-07
1305.052,0.196004179,7.00E-06,1.00E-07,5.00E-07
1305.052,0.199743736,7.00E-06,1.00E-07,5.00E-07
1433.21,0.188142292,7.00E-06,1.00E-07,5.00E-07
1433.21,0.177423861,7.00E-06,1.00E-07,5.00E-07
1561.368,0.208295762,7.00E-06,1.00E-07,5.00E-07
1561.368,0.198524195,7.00E-06,1.00E-07,5.00E-07
1689.526,0.182276192,7.00E-06,1.00E-07,5.00E-07
1689.526,0.175860694,7.00E-06,1.00E-07,5.00E-07
1817.684,0.197123004,7.00E-06,1.00E-07,5.00E-07
1817.684,0.196254181,7.00E-06,1.00E-07,5.00E-07
1945.842,0.174586082,7.00E-06,1.00E-07,5.00E-07
1945.842,0.239425536,7.00E-06,1.00E-07,5.00E-07
0,0.517335146,1.00E-05,1.00E-07,5.00E-07
0,0.505786249,1.00E-05,1.00E-07,5.00E-07
0,0.521499449,1.00E-05,1.00E-07,5.00E-07
0,0.501116071,1.00E-05,1.00E-07,5.00E-07
151.63,0.488997555,1.00E-05,1.00E-07,5.00E-07
151.63,0.521161245,1.00E-05,1.00E-07,5.00E-07
151.63,0.516764236,1.00E-05,1.00E-07,5.00E-07
151.63,0.486191394,1.00E-05,1.00E-07,5.00E-07
279.788,0.335098336,1.00E-05,1.00E-07,5.00E-07
279.788,0.335249042,1.00E-05,1.00E-07,5.00E-07
279.788,0.353329334,1.00E-05,1.00E-07,5.00E-07
279.788,0.317123288,1.00E-05,1.00E-07,5.00E-07
407.946,0.212156978,1.00E-05,1.00E-07,5.00E-07
407.946,0.229257875,1.00E-05,1.00E-07,5.00E-07
407.946,0.209353368,1.00E-05,1.00E-07,5.00E-07
407.946,0.197263976,1.00E-05,1.00E-07,5.00E-07
536.104,0.187605825,1.00E-05,1.00E-07,5.00E-07
536.104,0.190665514,1.00E-05,1.00E-07,5.00E-07
536.104,0.186945501,1.00E-05,1.00E-07,5.00E-07
536.104,0.184266263,1.00E-05,1.00E-07,5.00E-07
664.262,0.174269095,1.00E-05,1.00E-07,5.00E-07
664.262,0.188887102,1.00E-05,1.00E-07,5.00E-07
664.262,0.179976926,1.00E-05,1.00E-07,5.00E-07
664.262,0.18271349,1.00E-05,1.00E-07,5.00E-07
792.42,0.177968045,1.00E-05,1.00E-07,5.00E-07
792.42,0.178884493,1.00E-05,1.00E-07,5.00E-07
792.42,0.188804071,1.00E-05,1.00E-07,5.00E-07
792.42,0.171706547,1.00E-05,1.00E-07,5.00E-07
920.578,0.198666667,1.00E-05,1.00E-07,5.00E-07
920.578,0.167122186,1.00E-05,1.00E-07,5.00E-07
920.578,0.164984136,1.00E-05,1.00E-07,5.00E-07
920.578,0.172113864,1.00E-05,1.00E-07,5.00E-07
1048.736,0.175730519,1.00E-05,1.00E-07,5.00E-07
1048.736,0.172487696,1.00E-05,1.00E-07,5.00E-07
1048.736,0.178965115,1.00E-05,1.00E-07,5.00E-07
1048.736,0.202870813,1.00E-05,1.00E-07,5.00E-07
1176.894,0.192963589,1.00E-05,1.00E-07,5.00E-07
1176.894,0.18494898,1.00E-05,1.00E-07,5.00E-07
1176.894,0.204932735,1.00E-05,1.00E-07,5.00E-07
1176.894,0.184674615,1.00E-05,1.00E-07,5.00E-07
1305.052,0.186110265,1.00E-05,1.00E-07,5.00E-07
1305.052,0.181833007,1.00E-05,1.00E-07,5.00E-07
1305.052,0.206246705,1.00E-05,1.00E-07,5.00E-07
1305.052,0.194757068,1.00E-05,1.00E-07,5.00E-07
1433.21,0.184738956,1.00E-05,1.00E-07,5.00E-07
1433.21,0.179931348,1.00E-05,1.00E-07,5.00E-07
