,Time,FRET,Error,Enzyme,Replicate,RNA
121,1457.273263,0.081218284,0,3.00E-06,1,1.00E-07
122,1639.432421,0.086003407,0,3.00E-06,1,1.00E-07
123,1821.591579,0.075350882,0,3.00E-06,1,1.00E-07
124,2003.750737,0.088262912,0,3.00E-06,1,1.00E-07
125,2185.909895,0.101238293,0,3.00E-06,1,1.00E-07
126,2368.069053,0.076584969,0,3.00E-06,1,1.00E-07
127,2550.228211,0.068403177,0,3.00E-06,1,1.00E-07
128,2732.387368,0.075243778,0,3.00E-06,1,1.00E-07
129,0,0.851093126,0,3.00E-06,2,1.00E-07
130,182.1591579,0.689278753,0,3.00E-06,2,1.00E-07
131,364.3183158,0.452528944,0,3.00E-06,2,1.00E-07
132,546.4774737,0.267726419,0,3.00E-06,2,1.00E-07
133,728.6366316,0.164596669,0,3.00E-06,2,1.00E-07
134,910.7957895,0.103096231,0,3.00E-06,2,1.00E-07
135,1092.954947,0.074354784,0,3.00E-06,2,1.00E-07
136,1275.114105,0.072601474,0,3.00E-06,2,1.00E-07
137,1457.273263,0.065434852,0,3.00E-06,2,1.00E-07
138,1639.432421,0.071819344,0,3.00E-06,2,1.00E-07
139,1821.591579,0.086616394,0,3.00E-06,2,1.00E-07
140,2003.750737,0.067393078,0,3.00E-06,2,1.00E-07
141,2185.909895,0.068328227,0,3.00E-06,2,1.00E-07
142,2368.069053,0.072830408,0,3.00E-06,2,1.00E-07
143,2550.228211,0.055417177,0,3.00E-06,2,1.00E-07
144,2732.387368,0.051343538,0,3.00E-06,2,1.00E-07
145,0,0.844275982,0,3.00E-06,3,1.00E-07
146,182.1591579,0.674219759,0,3.00E-06,3,1.00E-07
147,364.3183158,0.458927465,0,3.00E-06,3,1.00E-07
148,546.4774737,0.34922383,0,3.00E-06,3,1.00E-07
149,728.6366316,0.188594793,0,3.00E-06,3,1.00E-07
150,910.7957895,0.123480733,0,3.00E-06,3,1.00E-07
151,1092.954947,0.078156929,0,3.00E-06,3,1.00E-07
152,1275.114105,0.04842891,0,3.00E-06,3,1.00E-07
153,1457.273263,0.052293538,0,3.00E-06,3,1.00E-07
154,1639.432421,0.041032167,0,3.00E-06,3,1.00E-07
155,1821.591579,0.057272007,0,3.00E-06,3,1.00E-07
156,2003.750737,0.057353646,0,3.00E-06,3,1.00E-07
157,2185.909895,0.05891319,0,3.00E-06,3,1.00E-07
158,2368.069053,0.053391968,0,3.00E-06,3,1.00E-07
