Number,Time,FRET,Error,Enzyme,Replicate,RNA
140,1379.838,0.123116526,0,7.00E-06,1,1.00E-07
141,1638.47,0.114378592,0,7.00E-06,1,1.00E-07
142,1638.47,0.137897727,0,7.00E-06,1,1.00E-07
143,1897.102,0.111566268,0,7.00E-06,1,1.00E-07
144,1897.102,0.113136954,0,7.00E-06,1,1.00E-07
145,2155.734,0.156519833,0,7.00E-06,1,1.00E-07
146,2155.734,0.16716338,0,7.00E-06,1,1.00E-07
147,2414.366,0.172322569,0,7.00E-06,1,1.00E-07
148,2414.366,0.182686316,0,7.00E-06,1,1.00E-07
149,2672.998,0.137742568,0,7.00E-06,1,1.00E-07
150,2672.998,0.15674909,0,7.00E-06,1,1.00E-07
151,2931.63,0.108696002,0,7.00E-06,1,1.00E-07
152,2931.63,0.124962381,0,7.00E-06,1,1.00E-07
153,3190.262,0.112099939,0,7.00E-06,1,1.00E-07
154,3190.262,0.123342779,0,7.00E-06,1,1.00E-07
155,3448.894,0.107071281,0,7.00E-06,1,1.00E-07
156,3448.894,0.119479823,0,7.00E-06,1,1.00E-07
157,3707.526,0.120109273,0,7.00E-06,1,1.00E-07
158,3707.526,0.120063484,0,7.00E-06,1,1.00E-07
159,3966.158,0.116416456,0,7.00E-06,1,1.00E-07
160,3966.158,0.112772757,0,7.00E-06,1,1.00E-07
